PHONEME,F1,F2,F3,SPEAKER
2,492.634812526773,1276.7620767795,2360.07829630511,josh
O/,931.988671522185,1548.03393876305,3184.71650012561,josh
e,507.102916159091,1530.08825819591,2287.77790158339,josh
E,496.617402214414,1514.08793655573,2515.51669092374,josh
O/,509.399378944672,1279.50873487442,2908.63636418029,josh
A/,501.149110711761,1339.9377776877,2255.00965215716,josh
E,460.235594951611,1561.76784008118,2404.05625121413,josh
@,571.51894881714,1188.25685806892,2502.22612919339,josh
y,646.556706824271,1651.70171793752,2603.91708879998,josh
O/,543.135169591575,1705.18536221232,2628.15505465035,josh
e,386.729459611284,1730.15008512237,2376.8004699009,josh
A/,643.698547485833,1097.45907607175,2506.04139470846,josh
E,532.601186510023,1615.35305530502,2438.72883044639,josh
A/,504.968395710934,1315.51698053709,2393.92322874481,josh
e,453.804107319972,1633.86867138499,2430.96084205112,josh
A/,529.238414074549,1636.09750469992,2379.85421339662,josh
A/,487.748728462315,1448.05492401462,2329.3111963975,josh
i,305.141687779637,1946.26730728229,2825.42410070249,josh
i,190.581546255851,2295.47791364275,2755.49454317865,josh
A/,517.225845071313,1602.79036295962,2183.50551365212,josh
A/,623.312150390496,1101.31046086691,2303.10040265648,josh
O/,527.330452232653,1045.53117305338,2206.86190795491,josh
y,525.830072774725,1730.08112672944,2174.03535593193,josh
A/,650.448144341717,1311.2970758056,2230.13556983613,josh
y,754.241113622643,2418.32433723929,3073.72323987554,josh
A/,565.268195912185,1191.57794030463,2706.21517522857,josh
A/,647.059325611599,1157.33353620339,2432.72268778091,josh
2,478.450098063653,1398.98507431011,2419.96224983941,josh
O/,711.000556790491,823.077234072696,2279.3452418791,josh
u,446.107409742344,1407.71393365902,2459.03504343901,josh
y,554.854923407856,1040.42396735655,2524.91562310054,josh
i,513.932495700127,1121.59571709421,2512.69859226656,josh
A/,1000.5670979528,2605.003088584,4948.46125615919,josh
O~,606.303767672675,1514.6649947491,2592.54555887576,josh
a~,621.148170031404,1197.38644020995,2459.91570886152,josh
e,278.03415516204,1731.41732149221,2943.90757538419,josh
E,446.637466330123,1359.98889041439,2419.30439318979,josh
i,420.17946947273,1825.67164360432,2516.32487850297,josh
E,437.059011609462,1365.4523939174,2452.13944785491,josh
A/,499.158688314209,1813.80006363069,2519.3625857754,josh
2,491.403728857538,1782.24367647591,2574.04102285702,josh
U~/,516.850166445684,1860.79038497476,2505.20844442944,josh
U~/,423.84580267288,1432.25055559943,2060.97987838672,josh
y,502.124261038549,1866.75683105005,2597.38194508125,josh
O/,490.077217664013,1180.57501632674,2061.43297610762,josh
i,1043.86761791284,2305.08266595186,3375.83028173907,josh
E,418.337455021137,1645.81737565943,2194.329287676,josh
a~,547.137385307873,1290.46531071337,2040.73201586054,josh
a~,584.930599775367,1142.93425341313,3056.13769051371,josh
@,401.478940185041,1319.50597810146,2604.12123047695,josh
y,318.667649517311,1370.22550588766,3007.74597806321,josh
A/,490.84052415076,1242.03628702551,3108.64993786162,josh
a~,663.426501773274,1304.40191449477,2468.23116004756,josh
A/,658.299556094143,962.452785636365,2646.13982170905,josh
A/,509.29684242336,1313.27968370967,2575.68178561447,josh
A/,526.282517582708,1070.60717397417,3305.55905595281,josh
e,513.868797492635,1591.85974030215,2517.94324543321,josh
i,307.135719630105,2088.47474943846,3233.72605505199,josh
y,541.210731139203,1387.67478663867,2397.34074524852,josh
E,322.570302080227,2047.79528197536,2893.92203058655,josh
E,459.679521773617,1660.63821596445,2598.83062233287,josh
e,337.198920688921,1781.97974086298,2681.70676657516,josh
E,360.857686549016,1635.54116388313,2652.26694813815,josh
i,331.068478584965,1962.9895386129,2636.0107865593,josh
A/,413.136337476404,1547.6802194977,2483.70595147025,josh
O/,608.712694913992,956.824410252149,3298.4208703155,josh
A/,524.826690136307,946.567988988363,3184.90509911605,josh
u,322.260829086158,910.851611708585,2493.06027294092,josh
e,440.952359891854,1569.06047498084,2238.80244911858,josh
@,329.374454600756,2049.87767905356,2491.48633467031,josh
i,318.227430385451,1363.64590685815,2386.67419562421,josh
E,469.513624555262,1636.71698368764,2449.32698624897,josh
e,94.8758001038168,1590.57403888538,2578.54422239583,josh
u,314.333158337475,1671.10726735361,2087.75684499558,josh
A/,496.176018836636,1360.50692038045,2396.49920057582,josh
A/,1000.26084932377,3001.48076874994,4948.66762620522,josh
O/,658.860435747886,1171.09521561809,2586.19544238444,josh
e,657.058873730095,1134.58277061924,2555.67751371886,josh
O~,1174.86420028179,1429.40121537502,2444.16904140867,josh
a~,328.959806115909,1056.85850338386,2185.88380928789,josh
y,1525.13814818963,2410.75740697166,3362.52750972497,josh
E,610.939002562578,1491.90707448242,2485.92681515593,josh
e,436.89246760536,1698.42111989915,2480.93499095154,josh
E,437.225722599117,1579.2834802021,2470.69362971347,josh
A/,435.305252604223,1357.03949709607,2545.28066417381,josh
u,541.816269702848,1607.0717009749,2513.21418408869,josh
y,425.537911485815,1897.69687613871,2469.19520087848,josh
A/,527.446573248083,1259.68087016007,2094.17909515873,josh
a~,545.316133744462,1294.98619930783,2113.88736695734,josh
i,368.837893717159,1601.77183438049,2426.44442415666,josh
O/,393.84491439973,1580.48479394068,2192.66159252955,josh
i,335.075510623414,1966.07379531761,2647.49650630776,josh
u,273.952072364539,1726.54492651401,2403.61764836565,josh
E,565.892674761719,1354.5876957293,2435.67336154509,josh
E,403.904709737865,1622.91110106761,2552.9335848712,josh
E,449.861318089448,1643.02927450666,2480.39642450195,josh
E,537.2305532253,1420.83015936488,2051.05802214334,josh
a~,450.876135420732,1054.02877373216,2070.99881852602,josh
e,710.985657170803,1807.15373730122,2524.4777240289,josh
@,373.468118469989,1850.26069087234,2365.35744247586,josh
y,495.773027485668,1386.81988014422,2378.76591554837,josh
i,562.133126264596,2035.59487122475,2829.75746815568,josh
U~/,382.687297588852,1667.11421656707,2316.97968880872,josh
y,828.943822569699,2299.83391542909,3113.72964951532,josh
E,882.243384483007,2214.45664590659,2309.67537421631,josh
@,413.914504956678,1798.99494151856,2519.69830215976,josh
i,315.133407052123,1881.05128297978,2531.17513556106,josh
E,509.448359100078,1615.67962591383,2180.19537073739,josh
a~,546.234322790473,1387.40776217956,2052.78910256556,josh
A/,499.639191949837,1417.86602026036,2347.0830668919,josh
2,536.752823377157,1465.16527930158,2333.36475628296,josh
i,370.859248714647,1871.94186403612,2371.45413790657,josh
A/,559.073609270441,1625.17801968176,2302.79590723301,josh
y,570.205342965565,1534.12156385675,2519.38234941215,josh
@,429.935281825764,1438.60622520368,2561.40240003925,josh
y,2061.58134158555,2523.34897543796,3266.73710840039,josh
e,362.37554272057,1733.21684525668,2617.26696291135,josh
y,1967.61820273982,2536.64837583229,3601.99055083389,josh
a~,490.645447759171,1548.39788166092,2066.34440614943,josh
A/,427.997852454694,1227.83296878937,2596.44600262577,josh
a~,479.681520757406,1364.96811072121,2416.91810988207,josh
e,386.894752152634,1702.7934200173,2506.58613380193,josh
E,420.523832386461,1604.63510922959,2355.7087084258,josh
O/,615.039160383518,1196.26841065004,2449.40189132789,josh
O/,1157.91838129096,2251.72344667916,3002.09340812058,josh
A/,999.371501710887,2071.09299699249,4947.54382203694,josh
O/,547.180846967019,1241.04331412352,2615.8484256302,josh
e,650.622336150852,1826.24038391106,2158.92647804252,josh
O~,522.604881176774,1511.54491187578,2453.4693690176,josh
a~,832.021067174842,1009.5243474629,2176.02950796287,josh
E,428.940914422115,2198.56112250873,3006.57825700946,josh
A/,526.409572813293,1255.45935384599,2510.95659616879,josh
E,524.200423778052,1536.98138614654,2377.98246845542,josh
@,423.089662893879,1538.05757141126,2321.68747261734,josh
a~,516.402023271428,1479.84542682892,2707.37538125273,josh
A/,636.09790965758,1109.93717757362,2966.47225574531,josh
u,556.288929488531,1424.14538893157,3569.96095040395,josh
E,458.963656535805,1500.50696893779,2527.56823074157,josh
i,399.30896183857,1763.85101599817,2505.18824018414,josh
A/,556.689650873925,1512.28566775572,2389.61507408569,josh
O/,461.538731028988,1480.3472396974,2807.04003389792,josh
u,522.644037779231,1018.97936662531,2568.81251563372,josh
y,333.385029181016,1841.05640613903,2426.95854678927,josh
@,396.886538945746,1859.97409822767,2477.82670732552,josh
E,574.479122963951,1104.49834725343,2169.78548780394,josh
A/,546.154890297185,1003.42145999012,2767.23668142918,josh
A/,596.95638940367,939.227688488026,2835.63905252485,josh
a~,567.469679778741,1262.72005087018,2542.8172963792,josh
E,612.415686767928,1309.7973373646,2289.32234972489,josh
O/,588.971135457683,1096.49517266187,2608.86093328462,josh
A/,1039.04439599231,2131.17838929935,3040.63772701359,josh
y,525.165266949061,1223.59466193326,2912.34636614423,josh
O/,563.427740669779,1283.15269131546,2626.65487741465,josh
u,330.003464114602,1616.79748308468,2508.017582007,josh
O/,476.325792355506,1425.5979807778,2435.22920714327,josh
u,454.074392502215,1369.90219675308,2020.49102051961,josh
y,306.345228204383,1544.13395378472,2035.31686479664,josh
i,350.329518516077,1958.26390614896,2509.43227037211,josh
A/,999.980022211166,1866.17181548286,4947.09298155178,josh
O/,611.614356987914,1292.42135327027,2641.71998423427,josh
e,557.259675919896,1494.52588465165,2371.49988163275,josh
y,664.393418457842,1639.71999495211,2477.02417897824,josh
E,487.950990073849,1520.00379585055,2463.69514642582,josh
e,440.264005104438,1800.59888379564,2537.98166828214,josh
E,805.808393716788,1957.17100436488,3153.32389445452,josh
A/,626.832169298608,1372.50632584801,2704.11519773377,josh
A/,603.414996833034,1059.30668199478,2515.99663674771,josh
i,417.13816393737,1073.75651992573,2002.02535355811,josh
@,488.043025237367,1764.69597868881,2413.06621844288,josh
y,431.780253200393,1571.68955123013,2350.10788449673,josh
y,1301.19269225744,2565.67829130735,3073.69244500096,josh
O/,564.434444076003,838.255114368374,3019.17418471953,josh
@,400.429993975884,1849.04526821644,2273.98428798613,josh
A/,540.373087117132,1270.74151914284,2487.08375496,josh
E,557.625887225473,1403.92336005143,2404.58340155384,josh
@,450.005242946882,1440.47958071266,2455.83682515712,josh
y,486.118202198156,1378.1534624089,2291.39376091425,josh
a~,542.812647887257,1272.80547569332,2528.51027721706,josh
E,580.359199629701,1327.02166936329,2441.44264910518,josh
y,446.302690359448,1375.23803535663,2491.72150754208,josh
E,419.618243859126,1466.36285716299,2012.58850074897,josh
@,563.126635710335,1328.58064471608,2342.57991056362,josh
A/,439.89503925241,1280.41349720257,2420.31559935811,josh
E,576.530284041087,1764.4724225872,2126.51255045277,josh
A/,544.669494002346,1448.84184335187,2437.89201146006,josh
O/,1459.98390728379,2174.81982994925,3292.09654109929,josh
O/,664.535788691738,1218.03805876587,2509.03135221739,josh
e,414.167926990909,1854.4342487605,2403.56439092219,josh
O/,414.844627639243,1721.34420379381,2319.70514068865,josh
e,381.601817758408,1846.54002386105,2314.41722613953,josh
y,955.410878355166,2108.96433419518,2956.10858225837,josh
A/,584.688231436358,1363.73260410675,2643.16764428905,josh
A/,542.206804007946,1039.97923681563,2477.49314079392,josh
y,469.556803088263,1341.99836106435,2417.6438695966,josh
E,1422.54773241397,1772.60194311032,3502.98091764034,josh
y,403.355613088336,1440.61021657475,2524.60339174806,josh
A/,589.506982362284,1067.53284244732,2134.49743507896,josh
@,378.466761114921,1459.2999518913,2332.58617996442,josh
A/,590.821249349068,1033.42587307197,2175.30224859004,josh
A/,557.239002646019,1360.08752524941,2473.85993000058,josh
E,421.851868550252,1656.14842100871,2339.92450644813,josh
y,504.285788784635,1650.6872117091,2271.03090535888,josh
