PHONEME,F1,F2,F3,SPEAKER
y,537.751980994172,1511.21003031528,2382.99780210925,coulson
y,987.922694161583,1914.6561309492,2742.94915017282,coulson
O~,314.116364236178,952.624437136879,2483.68978171932,coulson
@,396.767686366828,1094.28195987883,2599.82737571842,coulson
y,634.688273720905,1114.93539108665,2508.86004261515,coulson
y,556.043525427738,1119.48011537545,2495.16956088725,coulson
i,1313.80278523008,2212.54607859775,2959.05708720943,coulson
A/,416.878942505706,1868.18827912811,2672.57592849755,coulson
y,465.852615135044,1758.21024157148,2600.56436792076,coulson
@,420.575749458308,1701.35209013248,2233.10100815523,coulson
O~,467.56062475976,822.002196263293,2474.87106594458,coulson
e,375.30161668086,1854.93948220901,2616.78449173318,coulson
y,354.544507402584,2291.03151560174,2685.29343411819,coulson
O~,465.402390713022,851.944453999606,2454.22450433212,coulson
O/,565.386108746284,1847.77489715793,3039.28259542375,coulson
i,344.771937960462,2164.41249677661,2949.68323729248,coulson
E,387.415797014893,1908.17658452624,2578.85394129447,coulson
A/,555.402833323173,928.640364569966,2289.01328866585,coulson
O~,361.910950709626,807.186868355462,2537.10086549652,coulson
@,341.121555197312,1227.17872332921,2594.6095973789,coulson
A/,341.850734502967,1440.26082216786,2541.369915031,coulson
A/,456.934435217263,1660.17158400062,2507.60133088684,coulson
@,459.463193739241,1714.92565548227,2479.78964708953,coulson
y,415.809947513345,2077.35691908215,2519.38249345077,coulson
e,327.176816238584,1816.78024416035,2570.70769618895,coulson
y,300.022069896724,2362.36287364436,2802.06018728924,coulson
A/,561.231494047712,1226.25005494003,2506.73434516012,coulson
O~,466.421018881848,1650.15003639207,2164.56244798709,coulson
u,456.473915783276,842.33599975175,2700.4063010136,coulson
U~/,388.547215102941,1288.31314388557,2570.98083616747,coulson
e,528.233020563384,2157.28185140013,2616.37550503567,coulson
O/,680.549731344578,1683.84826278961,2892.79139377209,coulson
O/,406.692516649602,1661.82590942039,2356.83437379342,coulson
A/,550.61800103579,1500.55308638774,2521.19569574772,coulson
A/,640.787921931128,1338.29024998767,2625.71707971887,coulson
A/,567.859742957772,1328.5131041922,2633.5746408301,coulson
E,421.80701331649,1624.9601843988,2586.759380001,coulson
A/,466.681237642767,1011.24675937167,2425.05183137784,coulson
A/,542.277205215633,1239.28125158106,2309.96474508052,coulson
E,446.992604747102,2097.73262628243,2520.9021106757,coulson
@,325.728995882597,2300.69413717487,2964.23302298997,coulson
i,361.040256443653,1884.49385359283,2555.38205312528,coulson
i,371.381303857653,1870.25857253676,2407.04387799641,coulson
@,456.929484914606,1458.94887963048,2372.732054255,coulson
A/,512.666633533901,1069.20418497952,2213.44313654857,coulson
A/,469.17833908274,847.455628822257,2519.23218631668,coulson
u,523.251710467634,1128.47744571741,2516.39536968662,coulson
y,281.878188394117,1126.73657072648,2549.0492873929,coulson
A/,891.044961529843,2037.57717992997,3173.69847899873,coulson
O~,563.020849919753,1075.889186194,2722.76657821012,coulson
u,449.590842020595,921.601262336758,2448.64747239821,coulson
@,2196.01835092569,2680.83246110583,3721.42928929405,coulson
y,496.994418581728,1395.35680537479,2369.02705084188,coulson
A/,461.451715903251,1537.50385485206,2627.32622322088,coulson
O/,549.625255680668,1155.68049998382,2882.91162576881,coulson
A/,356.557057354093,2003.64378625943,3717.7616925974,coulson
E,513.127150741866,1230.27729834193,3438.11310994988,coulson
i,999.764573024196,2396.90088805277,4948.08683703425,coulson
A/,374.468531220599,2188.02137057571,2721.90789190426,coulson
e,415.119089209586,1998.02832077704,2792.92772650449,coulson
e,399.680477080006,2090.98632150874,2783.73155839517,coulson
A/,555.579208547816,1091.49355671577,2360.2225875056,coulson
y,536.653132833632,1378.45945771394,2414.05283230619,coulson
2,439.736638541085,1851.21645792663,2694.5782165497,coulson
a~,474.717879046277,1589.20842962825,2598.57599094222,coulson
A/,559.693851426766,1553.32319840125,2333.64608038746,coulson
E,498.248198694276,1638.97925013816,2650.62000105618,coulson
i,388.102311106751,2324.73245619998,2880.89340365849,coulson
e,406.863297669758,2178.36300954455,2610.827143406,coulson
y,913.168965651814,2309.9868211188,3529.80615909945,coulson
i,686.152068357021,1113.73452299143,2244.57842776992,coulson
A/,657.98339917378,1380.1109008785,2689.56327171745,coulson
A/,651.480591149676,1851.06214747077,2817.49527581207,coulson
U~/,346.831437389716,2276.44104590124,3776.58212721798,coulson
y,796.137559914579,2067.08260876547,2951.32342566462,coulson
U~/,593.896841636661,2076.45592296515,2904.28759402224,coulson
A/,554.227400284901,1570.02640597063,2271.30527821768,coulson
i,474.934784363896,1533.83064439487,3053.21768480608,coulson
E,364.283586091308,1931.29069068863,2609.18612210414,coulson
a~,435.991395307327,1528.91652547583,2375.15269566466,coulson
E,608.806319642868,1906.34122086678,3653.68653863179,coulson
E,256.913725955232,1419.6511668606,2386.58087762823,coulson
O~,241.634560649801,976.200812554083,2367.91523580415,coulson
e,299.594671847503,1536.64242561448,2373.28301393252,coulson
i,402.795929378806,2316.58659492264,2907.94578910052,coulson
A/,412.406541042871,2652.6429679818,3154.7916584884,coulson
y,296.728511634465,1615.03038085804,2592.76183218487,coulson
u,776.969918644843,1572.35127819823,3206.55998797763,coulson
E,1418.85632892079,2051.07701809342,3195.43667766457,coulson
i,489.539323822179,1821.53945250806,2601.64927075662,coulson
A/,360.014779399396,1886.07863953084,2687.32834339026,coulson
y,274.538060728606,1635.69885169506,2568.88154199795,coulson
O/,328.537263689529,1981.13803387014,3000.22193917382,coulson
y,676.265567523944,1324.13743271517,2575.39449451414,coulson
a~,677.40004472386,1305.83859656475,2687.40625100338,coulson
A/,471.801171804519,1127.09430423472,2711.75917127867,coulson
i,511.197193433385,1167.50378103301,2973.4341412972,coulson
A/,423.807539528178,1417.05524829596,2622.95324468721,coulson
