PHONEME,F1,F2,F3,SPEAKER
@,511.311541313104,1400.19331061068,2403.91811145699,josh
y,524.81795197848,1411.63406407638,2387.19993413309,josh
y,1466.33394008811,2587.30684924551,3314.15103443065,josh
A/,582.134913028005,1155.58686053631,2390.68786618409,josh
@,477.814612996986,1716.79791708999,2347.87644428815,josh
y,1068.26890777079,2076.31243724165,3075.18968306909,josh
E,572.19856167516,1836.28496470868,2812.22244195592,josh
i,457.615730813318,1836.23902859532,2556.31610829817,josh
E,460.795301301644,1999.5372163371,2622.76228404756,josh
u,493.223304489938,1269.73366683294,2161.37076877868,josh
E,562.068336618563,2064.73740650615,2478.70596743497,josh
O/,1626.84710611104,1966.16628218038,2827.90707909793,josh
A/,346.09382401293,1335.19980577418,2723.21688310632,josh
A/,402.826502314135,1302.8545076656,2824.73222712866,josh
E,243.836556458314,1457.32248092108,2575.94282457001,josh
@,531.094601174938,1453.87832432824,2422.72292450201,josh
A/,450.803109267305,1423.33616358694,2290.93608511878,josh
U~/,513.891866962137,1541.22093206777,2715.14495629289,josh
O/,1172.6460442092,2228.6127529596,3497.90305090294,josh
E,377.90214254879,1358.97005934675,2321.11566953153,josh
y,440.062114558002,1363.51836925169,2402.0461712213,josh
A/,552.057575398757,1295.22625880939,2750.64433629457,josh
y,506.482320543247,1406.31748867409,2715.54909439677,josh
A/,559.805623688657,1376.55922637904,2395.38648622022,josh
E,464.934976594831,1368.58415421485,2950.09584540753,josh
E,507.924685915822,1600.05865147844,2252.31484471138,josh
e,427.122375931467,1675.86114092481,2590.48167704602,josh
A/,557.408177050202,1357.59103200125,2665.8831841256,josh
u,514.965755625077,1205.55068316403,2634.09158082171,josh
y,149.070110145075,1443.97224815551,2293.62119164145,josh
O~,438.485284307736,1117.17361306258,2280.03676227858,josh
y,408.045577373984,1397.9992075677,2530.93602492236,josh
O/,713.322065953173,1866.50749904999,3033.69291906024,josh
E,563.413812891126,1256.04097267124,2258.54242981237,josh
O/,831.258623982188,1481.89280036397,2562.08043376244,josh
E,574.858755285491,1117.90863530352,2300.73247859888,josh
E,516.924942148968,1179.11031076008,2069.08186413119,josh
e,1326.12212157653,2516.29798017332,3372.16911471423,josh
A/,512.500229871174,1292.65920731245,2594.84763385269,josh
A/,519.814873028189,1264.15842610645,2743.50900445223,josh
e,447.382575502964,1704.82431564838,2478.83822669394,josh
E,473.547705238959,1508.16321027502,2498.69249603514,josh
A/,668.829769906362,1209.69514564599,2534.99923576182,josh
E,473.55127028233,1283.47853542591,2156.67040553842,josh
a~,570.939635481482,904.272601140977,3018.60617715182,josh
U~/,608.062725952939,1300.03001871842,2921.53589798047,josh
A/,612.343264526515,1507.0276865725,2671.86731884324,josh
@,529.361982896717,1353.73317091517,2815.96880529149,josh
y,463.045287103649,1400.74228008374,2768.70417587479,josh
O/,681.625554723072,1624.33076075922,2898.49896871995,josh
E,557.768023004523,1270.28062424083,2765.76252677876,josh
E,547.497453792335,1334.91579569252,2427.85266446813,josh
U~/,766.848417542452,1895.02845793892,2611.34443641975,josh
E,458.982243435764,1537.29694700424,2512.67085997948,josh
E,412.756145209508,1494.4336535985,2595.07573224017,josh
a~,525.720738305464,985.187979667932,2214.37486653513,josh
E,388.099084775225,1560.79851244223,2392.70841489253,josh
y,276.681621646225,1711.10978609695,2642.33281398368,josh
y,1348.13247140001,1891.85543333276,2878.18140151531,josh
E,524.129333011198,1461.23472612429,2273.40501551298,josh
E,413.92637252662,1707.30011742307,2550.92787480431,josh
a~,610.39635679925,1454.46827732598,2260.7486821384,josh
E,560.0382100103,1002.34479818408,2671.60697384107,josh
E,578.021429631142,1246.65885105973,2627.97607731616,josh
y,485.693213167912,1314.88947016466,2498.67629870273,josh
a~,496.752334105962,1309.84940631333,2525.41224525013,josh
a~,617.443324476226,1072.85501827848,2837.12178043367,josh
A/,607.277307638465,1308.31809679754,2610.81093716582,josh
i,433.554430585866,1189.62850550337,2486.25731552502,josh
O/,1066.36337232407,1899.54730492464,2837.92363839662,josh
y,589.860902043663,1560.6825152452,2620.32074389601,josh
e,341.961342835912,1503.99012706119,2739.56740191265,josh
E,379.839186847647,1583.10636483861,2623.35967917723,josh
E,484.26423399782,1777.24560334574,2503.29481751809,josh
E,384.470811019267,1251.56680805863,2052.15555948102,josh
a~,521.824019170867,1380.32488104173,2663.50506795326,josh
E,519.32302789752,1447.2020255688,2437.54966328313,josh
E,405.860954696084,1673.30269296364,2571.14522731584,josh
a~,384.946190192929,1201.34492517921,2867.24555886333,josh
E,402.600799959288,1172.62315544594,1921.94880174,josh
A/,562.154912852515,1393.38083662764,2620.00719451352,josh
e,471.541933627258,1417.03447723809,2206.80032102418,josh
y,512.513747725376,1438.06376789602,2381.75018210774,josh
E,556.29603011852,1116.89078181461,2138.40123954871,josh
@,486.974416162377,1311.06560435809,2354.01481330257,josh
E,421.914652118553,1732.25446608526,2780.74518813227,josh
A/,483.000579020782,1282.67179842666,2333.95911674728,josh
e,524.517099400086,1687.68798304031,2725.96143808786,josh
O/,989.486666358917,1441.01603100238,2558.96418430151,josh
A/,482.832001530355,2124.31759218309,3187.7490758028,josh
O/,631.350547339955,1154.26370011817,2688.03530457145,josh
e,785.517642666634,2115.02267024761,2535.59843799386,josh
O/,464.544908284914,1583.25288850217,2134.78210396965,josh
e,473.328797906597,1771.74178828257,2230.17719048267,josh
