PHONEME,F1,F2,F3,SPEAKER
@,402.976863499313,1384.05987751328,2607.87953960846,talbot
A/,626.043321178454,1213.70409083124,2455.13985903694,talbot
E,581.540116124866,1408.98509046669,2577.98158751272,talbot
@,299.197277405893,1367.35494699572,2391.42628886395,talbot
y,1188.757414716,1908.09862382384,3017.32272885726,talbot
u,675.976831868259,1262.44565865808,2706.75641381347,talbot
O~,571.803070879448,813.107152244407,2814.40922605074,talbot
A/,624.660399392302,1212.1989416367,2569.31430522597,talbot
A/,570.493517340977,1537.91703826938,2446.66667395236,talbot
E,627.585008328022,1684.02324522807,2575.43605153544,talbot
A/,617.705309632691,1183.13518181421,2507.99610394828,talbot
a~,602.112891098544,811.408593142826,2741.09671082327,talbot
u,202.489441245073,2433.59631472735,3000.88554545808,talbot
@,347.323003364822,1699.09376972369,2346.63677515808,talbot
i,1913.38759146763,2826.80009340903,3896.20544229197,talbot
O/,340.044001755442,1300.43628535664,2531.03664274247,talbot
O/,165.238661337004,1864.66633533048,2818.50504946864,talbot
y,1310.0503045414,1835.11150026485,2625.52314500395,talbot
E,363.124753311966,1740.45082117745,2511.06281390037,talbot
E,401.164456249102,1874.18126220094,2459.63108168847,talbot
2,336.615312996784,1824.69256473641,2364.05285790577,talbot
i,377.17788362092,2018.47065692513,2502.3499548158,talbot
y,267.415684813928,830.710182768907,2887.26313869342,talbot
A/,534.66112749699,1803.65527800006,2379.98980432622,talbot
O~,611.111581813926,1143.26175570821,3383.47649508946,talbot
O~,569.203577216248,1059.58969570186,2652.01466614049,talbot
E,577.587553701869,1493.05726214422,2451.79941124827,talbot
O/,588.252537133453,2126.9644653452,2689.32503571597,talbot
O~,447.21095412161,1225.68360877525,2279.28160177431,talbot
e,524.354110050332,1636.51990704955,2441.6505523113,talbot
O/,601.105868115609,1353.51770889416,3052.49782759966,talbot
a~,568.603707411889,1973.08070773229,2895.62390356813,talbot
e,327.706880687974,1619.11869921629,2585.63391869543,talbot
e,444.814013396402,1862.54736056183,2704.75469693792,talbot
e,606.746221166331,1753.79727384435,3116.83398014493,talbot
e,430.032764175325,1928.74193058281,2434.49459540471,talbot
a~,536.090744938347,1245.24931378824,2142.69988782866,talbot
e,333.238326964333,2414.60780550538,2795.50650350444,talbot
E,348.973324322783,1964.60133843906,2678.78643538919,talbot
U~/,605.046460977139,1661.47005435723,2464.1172059012,talbot
a~,516.587993789971,1699.70320169979,2506.21651049486,talbot
a~,687.584358787431,741.114106433222,2302.48789611505,talbot
e,283.062810058252,1934.19842802255,2391.17129472349,talbot
O/,475.606795146272,2129.83817152781,2571.07963338688,talbot
a~,599.990252615882,805.1475952354,2535.46504921085,talbot
A/,656.574155090655,1112.53971430147,2581.85305607863,talbot
A/,601.708774522991,1536.52177235618,2342.46687508022,talbot
a~,452.197065199863,1317.25684192185,2289.22634716226,talbot
u,1003.68596409805,2176.85643636159,3299.2023607417,talbot
y,1506.87079171237,1621.42774273482,2415.37686837207,talbot
@,508.953616684653,1554.9069979375,2428.94590974528,talbot
y,1028.16292314712,2024.66431378025,3071.69181730732,talbot
2,666.108301095936,1212.01777533227,2659.84657110402,talbot
i,1419.97750295931,2314.38852640698,3209.62606440923,talbot
u,681.465409523683,1749.79172104647,2446.32155183329,talbot
@,410.809476882384,1212.94256733365,2173.52009961199,talbot
a~,608.20433258555,904.230488011127,2509.28147216796,talbot
2,440.631780655514,1474.79099914453,2147.93511517142,talbot
i,1235.11914096964,2128.78405547203,3085.31211367265,talbot
O/,404.187853487451,2408.02618824016,2674.96702598926,talbot
i,1705.67427104424,1859.35855020209,3225.56868890283,talbot
O/,422.650488803697,1692.46251210114,2309.18985426962,talbot
e,360.013420704052,1879.41696331317,2500.19610674401,talbot
e,448.99151853923,2059.36080003008,2534.4917582853,talbot
i,336.631280297244,2005.60632337494,3075.64567151472,talbot
@,343.897051366299,1459.82141241885,2396.86867601935,talbot
i,954.348979557841,2384.36060129173,3058.29579370426,talbot
e,373.631877327286,1811.49626405282,2377.3053365143,talbot
A/,561.333392180423,1262.16425114337,2508.18939705936,talbot
U~/,550.395774433104,1333.95124233381,2428.99854851066,talbot
a~,409.751346278931,1656.61147791716,3026.73540928311,talbot
2,624.391919498374,1234.9749823861,2372.24261379152,talbot
y,1595.76562174368,2634.30925140234,3311.26500544897,talbot
@,857.903699837933,1292.2685705368,2406.8097331756,talbot
E,628.151220258111,1164.8448242258,2390.86707332303,talbot
A/,473.742809478005,1188.96719139301,2326.74752431338,talbot
