PHONEME,F1,F2,F3,SPEAKER
e,409.676029099528,1531.20168164103,2265.12592953375,ward
A/,571.296524930101,1281.14682430687,1769.78688472243,ward
A/,545.07082285891,1405.22631403496,2462.51676184559,ward
y,476.970494547183,1518.27851331868,2410.59632366655,ward
y,858.56244383128,2700.19886368116,3426.00549011644,ward
i,297.406617944117,1738.5965030284,2474.39287237999,ward
A/,470.426623258885,1527.64680485079,2664.50412391337,ward
e,503.530460152142,1694.86076148696,2136.04599351161,ward
A/,502.990437455852,1225.01384929475,2481.05667233884,ward
i,357.299289236187,1670.50081080308,2180.8128500331,ward
A/,415.771659115016,924.27514180894,2493.9320188322,ward
u,696.769475388534,1059.54883817392,2845.20407151642,ward
E,419.402306861435,1721.60702419854,2574.64496301218,ward
U~/,405.190451998724,1690.21882030223,2590.43853889809,ward
U~/,420.80642351153,1910.01139745476,3174.83508191425,ward
U~/,933.247134975988,1984.18495759533,3035.30799573126,ward
y,410.373975507796,1837.80861259747,2396.37973858196,ward
i,473.763552914789,1716.28702893474,2833.99791943006,ward
a~,465.752836773394,1147.09468365899,2184.36692144269,ward
E,429.653217285177,1732.89305437208,2250.895117733,ward
y,937.734279205805,1773.73957834451,2716.53407766137,ward
e,555.205916674967,1128.25036460189,3091.83178414679,ward
A/,751.911003858736,1559.78139389293,2917.6852371733,ward
A/,498.420366832144,1314.23348294459,2661.43646416586,ward
u,384.213636713757,1240.30228027406,2419.86924897534,ward
E,487.39349159832,1491.42399753528,2582.94253102478,ward
O/,673.070695763215,1277.85228759909,2090.72387531192,ward
e,546.464985762837,1667.86777512848,2419.77355645554,ward
a~,460.822055512163,1471.68531592336,1502.25347711007,ward
O/,442.376254090688,1529.32516998327,2235.17438660455,ward
O/,444.952636984758,1558.99760413192,2344.5796573612,ward
E,530.840969442956,962.199079068457,2605.13495978301,ward
E,533.667996841515,1351.54328949916,2494.7325649127,ward
E,549.909645801503,1453.83440943176,2581.26839675387,ward
e,452.906202140135,1662.08734734148,2604.34575575122,ward
E,494.97739692725,1733.65652512817,2571.01612310895,ward
A/,470.066249117602,1447.7149467757,2639.52820417551,ward
A/,616.812285741746,1101.77240878936,2517.49332771693,ward
@,441.715155566004,1372.89934985469,1483.41041271278,ward
A/,489.058439368359,916.882472142586,2291.60392423299,ward
y,485.186998007217,1122.70403185168,2648.48718808624,ward
A/,671.660705928393,1106.182495601,2785.77421592396,ward
E,454.751076223275,1604.12451127451,2286.32100510348,ward
2,487.030459256988,1453.95632828873,2697.37481568166,ward
9,454.642108231226,1486.0041168719,2678.75314704792,ward
E,475.428679654552,1526.54934599521,2377.80046986575,ward
O~,474.728220015773,1269.80586774642,2812.60270082304,ward
A/,530.310298312852,857.636767424323,2854.31254057055,ward
i,420.121499657257,1662.72703839647,1974.49264490753,ward
E,529.584797514275,1351.84299107155,1778.71570839525,ward
E,256.586881291973,1745.61568132977,3060.33628038708,ward
i,440.469760287297,2011.58827055403,2631.45293841076,ward
O~,438.742855030082,1411.62057174213,2013.7683624682,ward
a~,483.705405472146,847.352192986364,2229.06884430661,ward
y,408.805184341478,2560.93067617372,2837.82171642983,ward
