PHONEME,F1,F2,F3,SPEAKER
u,426.829656656436,1934.81151650125,2895.0325494163,josh
y,844.005547655887,2332.25161534241,3252.86260595416,josh
E,473.373982136688,1572.99298476963,2255.60004175463,josh
A/,505.281235051989,1346.51163483234,2571.04516698262,josh
2,493.116453620543,1350.22476547523,2487.30942140271,josh
O/,1253.21873935584,2029.92414226425,3183.54241992858,josh
O/,503.541596654713,1141.55058088143,2237.3469688526,josh
e,446.437031227031,1835.39004926343,2534.51123196326,josh
O/,442.851762469257,1588.97321032128,2157.32090575636,josh
e,389.134005340996,1906.895795828,2278.75927105726,josh
A/,676.450513780503,1582.94689389393,2822.8358214064,josh
e,416.36045223699,1589.05093046247,2553.4929956942,josh
O~,416.801255706941,1648.6711798656,3082.59194995092,josh
e,507.488329935678,1691.9992454321,2619.00910186849,josh
A/,507.379949909403,1094.38170159725,3374.33287917185,josh
e,585.883538647791,1675.20081726308,2739.43481399504,josh
A/,561.495947124669,1123.26168458234,2747.7385347217,josh
e,444.925423981467,1662.21893530678,2509.47534527664,josh
a~,484.980684841098,1506.04219855993,2337.02839711845,josh
y,617.487719339757,1132.35848087995,2729.54383765691,josh
E,538.993965175559,1359.62715624908,2823.49141118656,josh
A/,443.295711455253,979.623234530668,3181.8757279606,josh
E,487.579721944883,1628.64150651901,2299.67568453413,josh
A/,595.920813606642,1522.00282441451,2817.02235611134,josh
A/,554.682364083009,1192.54406695565,2973.15384168307,josh
u,511.39186627412,1230.25780672912,2946.51334156383,josh
E,448.491563399544,1492.43462641164,2238.72691905404,josh
O/,555.870422733318,1227.85386729442,2357.50353809793,josh
e,433.599171504944,1654.88567993232,2235.7774655391,josh
a~,508.630118488821,1595.42178862651,2053.89869631154,josh
A/,570.971961563687,1078.2972792208,2443.98483681851,josh
2,316.281358399204,1385.08439941295,2748.11011488163,josh
O/,854.608406468117,1429.47169166341,2615.09751504088,josh
e,426.286359288109,1598.13394380489,2557.85988946301,josh
O/,431.629443910327,753.061879640491,2334.7836274113,josh
y,492.827139822152,1299.61952671689,2240.07917106917,josh
U~/,479.251555648262,1434.72442820029,3043.18488688339,josh
A/,527.923771526904,1219.64949449412,2860.74358255591,josh
O/,489.910115362052,1467.09938394888,2667.42416620207,josh
E,578.950188392176,1300.20171786361,2299.37600401306,josh
A/,1438.05453141075,2408.69633260368,2993.73674891506,josh
e,466.977009122968,1608.02453623987,2303.26311395,josh
e,443.260711946565,1750.24718934693,2620.98300527247,josh
O/,512.916303131066,1155.60956923174,2102.02874655644,josh
@,597.882681756771,1147.68878854212,2649.56412100521,josh
y,522.998663366598,1033.04653024697,2279.49838797685,josh
a~,497.310017610443,1591.74706028567,2494.82503774823,josh
i,441.75917704597,1589.98591345469,2456.63767796367,josh
i,374.038792136207,1872.86475449787,2537.31848726511,josh
u,356.270605602759,1545.00204351413,2247.73054660385,josh
E,400.564718654234,1636.8573283277,2233.73520422071,josh
O/,536.998453928096,1254.90580545203,2650.54957244139,josh
O/,736.719376007182,1143.11759538283,2430.35877833551,josh
A/,468.690637441476,1254.97002812089,3180.30381668767,josh
O/,1092.45287332788,2226.29609402414,2794.28748982004,josh
O/,370.592459605944,1090.07160500553,2345.31109228116,josh
e,408.684206373787,1783.91088628416,2537.92192943756,josh
E,542.615178380479,1274.18720373497,2573.47052221351,josh
E,512.346391136724,1273.62952842914,2280.95366223,josh
A/,659.161509946628,1516.65704859899,2529.05093283609,josh
u,360.459944488899,716.727750477837,2512.42189123952,josh
e,825.2690485699,1734.47209819995,2788.83786657643,josh
e,848.486019232809,2138.17714582652,2928.4990758176,josh
e,430.200045276149,1683.18009638697,2517.09913670014,josh
e,355.645443043025,1642.58956481111,2522.30395823791,josh
a~,461.723624719547,1398.05693302968,2299.28443483939,josh
a~,628.649006756056,959.38600819484,3067.82154935581,josh
y,568.380367370931,1414.37305840063,2325.6855432481,josh
O/,538.217268526185,962.372836519995,2221.09354399819,josh
a~,473.295557376203,830.849647647484,2461.87667343383,josh
O/,415.933142210189,830.156603910258,2951.49196700572,josh
a~,396.819916131566,843.88903796483,2681.696648328,josh
e,403.970248533818,1552.03140248801,2418.05249008392,josh
E,489.243262623693,1546.97482716243,2522.65686220906,josh
E,412.171359728935,1541.56321931166,2381.58899991413,josh
e,409.045530010993,1594.11573052514,2368.86137109709,josh
A/,724.697219154573,1149.89423052924,2482.34281257107,josh
i,524.576713930712,1479.03935706083,2352.85459642627,josh
@,388.395594119048,1535.09757672697,2492.4124304782,josh
@,432.999912337299,1460.05663744837,2784.45086351313,josh
@,417.753346172186,1457.98014261496,2264.90164442226,josh
e,384.822125119439,1586.50514365953,2445.82473215858,josh
E,442.251725834381,1601.96393926341,2266.34106877565,josh
y,458.315410533599,1413.60209566422,2501.38875052827,josh
O/,422.236149895698,1247.00445433307,2565.12561708303,josh
i,384.567371055784,1722.8077470751,2998.01004721107,josh
E,404.765127968202,1855.13632770556,2187.4766898981,josh
u,331.80853561656,1659.11410732573,3269.88032953908,josh
A/,516.656373096574,1319.56648192025,2336.36297049917,josh
A/,580.129424293462,1011.64766952342,2452.36369135423,josh
i,492.131004846091,1316.48242765909,2502.032923805,josh
E,582.964420770868,1429.19603268851,2415.77555798853,josh
@,519.627819490861,1694.44601898741,2326.72325847212,josh
O/,544.304794967847,1484.468164048,2722.40876526642,josh
@,484.387162182332,1246.70916966746,2433.66759991282,josh
u,499.300499661343,1238.40266694078,2449.43566003457,josh
